date,top_1,month,year,day,days_from_start
1993-06-01,59.7,6,1993,1,0
1993-11-01,124.0,11,1993,1,153
1994-06-01,143.4,6,1994,1,365
1994-11-01,170.0,11,1994,1,518
1995-06-01,170.0,6,1995,1,730
1995-11-01,170.0,11,1995,1,883
1996-06-01,220.4,6,1996,1,1096
1996-11-01,368.2,11,1996,1,1249
1997-06-01,1100.0,6,1997,1,1461
1997-11-01,1300.0,11,1997,1,1614
1998-06-01,1300.0,6,1998,1,1826
1998-11-01,1300.0,11,1998,1,1979
1999-06-01,2100.0,6,1999,1,2191
1999-11-01,2400.0,11,1999,1,2344
2000-06-01,2400.0,6,2000,1,2557
2000-11-01,4900.0,11,2000,1,2710
2001-06-01,7200.0,6,2001,1,2922
2001-11-01,7200.0,11,2001,1,3075
2002-06-01,35900.0,6,2002,1,3287
2002-11-01,35900.0,11,2002,1,3440
2003-06-01,35900.0,6,2003,1,3652
2003-11-01,35900.0,11,2003,1,3805
2004-06-01,35900.0,6,2004,1,4018
2004-11-01,70700.0,11,2004,1,4171
2005-06-01,136800.0,6,2005,1,4383
2005-11-01,280600.0,11,2005,1,4536
2006-06-01,280600.0,6,2006,1,4748
2006-11-01,280600.0,11,2006,1,4901
2007-06-01,280600.0,6,2007,1,5113
2007-11-01,478200.0,11,2007,1,5266
2008-06-01,1000000.0,6,2008,1,5479
2008-11-01,1100000.0,11,2008,1,5632
2009-06-01,1100000.0,6,2009,1,5844
2009-11-01,1800000.0,11,2009,1,5997
2010-06-01,1800000.0,6,2010,1,6209
2010-11-01,2600000.0,11,2010,1,6362
2011-06-01,8199999.999999999,6,2011,1,6574
2011-11-01,10500000.0,11,2011,1,6727
2012-06-01,16300000.0,6,2012,1,6940
2012-11-01,17600000.0,11,2012,1,7093
2013-06-01,33900000.0,6,2013,1,7305
2013-11-01,33900000.0,11,2013,1,7458
2014-06-01,33900000.0,6,2014,1,7670
2014-11-01,33900000.0,11,2014,1,7823
2015-06-01,33900000.0,6,2015,1,8035
2015-11-01,33900000.0,11,2015,1,8188
2016-06-01,93000000.0,6,2016,1,8401
2016-11-01,93000000.0,11,2016,1,8554
2017-06-01,93000000.0,6,2017,1,8766
2017-11-01,93000000.0,11,2017,1,8919
2018-06-01,122300000.0,6,2018,1,9131
2018-11-01,143500000.0,11,2018,1,9284
2019-06-01,148600000.0,6,2019,1,9496
2019-11-01,148600000.0,11,2019,1,9649
2020-06-01,415500000.0,6,2020,1,9862
2020-11-01,442000000.0,11,2020,1,10015
2021-06-01,442000000.0,6,2021,1,10227
2021-11-01,442000000.0,11,2021,1,10380
2022-06-01,1100000000.0,6,2022,1,10592
2022-11-01,2505419281.912839,11,2022,1,10745
2023-06-01,3518080354.7895193,6,2023,1,10957
2023-11-01,4494716911.147904,11,2023,1,11110
2024-06-01,6321542845.054636,6,2024,1,11323
2024-11-01,8076434494.036178,11,2024,1,11476
2025-06-01,11340834540.284977,6,2025,1,11688
